departureAirportFsCode;arrivalAirportFsCode;departureDate;wPrecio;wRetardo;wDuracion;idConnection;directo;departureAirportFsCode_v1;fSalida_v1;hSalida_v1;carrierFsCode_v1;flightNumber_v1;arrivalAirportFsCode_v1;fLlegada_v1;hLlegada_v1;codeshares_v1;temp_v1;humidity_v1;pressure_v1;weather_v1;windSpeed_v1;windDeg_v1;departureAirportFsCode_v2;fSalida_v2;hSalida_v2;carrierFsCode_v2;flightNumber_v2;arrivalAirportFsCode_v2;fLlegada_v2;hLlegada_v2;codeshares_v2;temp_v2;humidity_v2;pressure_v2;weather_v2;windSpeed_v2;windDeg_v2;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_167;false;AUH;2019-10-31;02:35;EY;15;MAN;2019-10-31;06:40;[];null;null;null;null;null;null;MAN;2019-10-31;13:40;BT;6019;AMS;2019-10-31;16:00;[(KL-null)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_167;false;AUH;2019-10-31;02:35;EY;15;MAN;2019-10-31;06:40;[];null;null;null;null;null;null;MAN;2019-10-31;13:40;KL;null;AMS;2019-10-31;16:00;[(BT-6019)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_168;false;AUH;2019-10-31;02:20;SN;4102;BRU;2019-10-31;06:50;[(EY-null)];null;null;null;null;null;null;BRU;2019-10-31;18:05;WA;1732;AMS;2019-10-31;19:00;[(KL-1732)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_168;false;AUH;2019-10-31;02:20;EY;null;BRU;2019-10-31;06:50;[(SN-4102)];null;null;null;null;null;null;BRU;2019-10-31;18:05;WA;1732;AMS;2019-10-31;19:00;[(KL-1732)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_168;false;AUH;2019-10-31;02:20;SN;4102;BRU;2019-10-31;06:50;[(EY-null)];null;null;null;null;null;null;BRU;2019-10-31;18:05;KL;1732;AMS;2019-10-31;19:00;[(WA-1732)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_168;false;AUH;2019-10-31;02:20;EY;null;BRU;2019-10-31;06:50;[(SN-4102)];null;null;null;null;null;null;BRU;2019-10-31;18:05;KL;1732;AMS;2019-10-31;19:00;[(WA-1732)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_169;false;AUH;2019-10-31;02:05;BA;72;LHR;2019-10-31;06:15;[];null;null;null;null;null;null;LHR;2019-10-31;15:45;KL;1020;AMS;2019-10-31;18:00;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_170;false;AUH;2019-10-31;02:20;AF;3801;CDG;2019-10-31;07:00;[(EY-null)];null;null;null;null;null;null;CDG;2019-10-31;16:55;AF;1140;AMS;2019-10-31;18:20;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_170;false;AUH;2019-10-31;02:20;EY;null;CDG;2019-10-31;07:00;[(AF-3801)];null;null;null;null;null;null;CDG;2019-10-31;16:55;AF;1140;AMS;2019-10-31;18:20;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_171;false;AUH;2019-10-31;02:20;AF;3801;CDG;2019-10-31;07:00;[(EY-null)];null;null;null;null;null;null;CDG;2019-10-31;16:55;KL;2016;AMS;2019-10-31;18:20;[(AF-null)];null;null;null;null;null;null;
