AWZ;31.342921;48.746682
AXA;18.205944;-63.051754
AXB;44.2525;-75.901389
AXC;-22.958056;145.2425
AXD;40.856784;25.944893
AXE;-26.883333;-52.383333
AXF;38.823318;105.630964
AXG;43.066667;-94.233333
AXJ;32.483262;130.155645
AXK;13.866667;46.3
AXL;-19.083333;136.666667
AXM;4.452869;-75.768045
AXN;45.867222;-95.394167
AXP;22.45;-73.966667
AXR;-15.25;-146.75
AXS;34.696667;-99.338056
AXT;39.611771;140.220147
AXU;14.120833;38.716667
AXV;40.566667;-84.2
AXX;36.419646;-105.290381
AYA;8.316667;-75.15
AYC;8.6;-73.616667
AYD;-19.3;135.95
AYE;42.55;-71.6
AYG;1.533333;-73.933333
AYH;52.366667;-1.05
AYI;-0.333333;-72.333333
AYK;50.318621;66.952694
AYL;-18.033333;135.533333
AYN;36.1;114.35
AYO;-27.366667;-56.85
AYP;-13.197222;-74.247222
AYQ;-25.190877;130.976578
AYR;-19.596667;147.324444
AYS;31.248611;-82.396667
AYT;36.899282;30.801349
AYU;-6.333333;145.9
AYW;-1.2;132.5
AYX;35.475778;-86.108194
AYZ;40.666667;-73.416667
AZA;33.307778;-111.655556
AZB;-10.15;148.816667
AZD;31.903602;54.283264
AZG;19.068056;-102.352778
AZI;24.428429;54.45961
AZN;40.733333;72.3
AZO;42.239962;-85.556553
AZP;19.57415;-99.289487
AZR;27.883333;-0.283333
AZS;19.270555;-69.736944
AZT;6.866667;-73.25
AZZ;-7.883333;13.15
BAA;-5.316667;151.033333
BAB;39.136103;-121.436957
BAC;4.583333;-72.966667
BAD;32.5;-93.666667
BAE;44.387189;6.609135
BAF;42.157954;-72.715624
BAG;16.376667;120.617778
BAH;26.269181;50.62605
BAI;9.166667;-83.333333
BAJ;-4.833333;149.133333
BAK;40.5;49.833333
BAL;37.916667;41.083333
BAM;40.633333;-116.933333
BAN;-4.313333;20.428056
BAP;-10.333333;149.75
BAQ;10.889594;-74.780818
BAR;19.139421;110.456806
BAS;-6.993418;155.883276
BAT;-20.55;-48.55
BAV;40.563442;109.998495
BAW;-0.666667;146.35
BAX;53.361086;83.547643
BAY;47.658213;23.466204
BAZ;-0.966944;-62.933611
BBA;-45.916667;-71.695
BBB;45.316667;-95.6
BBC;28.983333;-95.966667
BBD;31.133333;-99.333333
BBE;-17.333333;117.583333
BBF;42.5;-71.183333
BBG;3.166667;172.75
BBH;54.339722;12.711667
BBI;20.252853;85.817385
BBJ;49.944064;6.560565
BBK;-17.816667;25.15
BBM;13.116667;103.2
BBN;3.683333;115.466667
BBO;10.419444;45.006389
BBP;50.683333;-1.083333
BBQ;17.636433;-61.826681
BBR;16.016389;-61.739444
BBS;51.333333;-0.85
BBT;4.219167;15.788056
BBU;44.495932;26.080995
BBV;4.666667;-6.95
BBW;41.431867;-99.638354
BBX;40.136667;-75.2675
BBY;5.845833;20.649722
BBZ;-13.537222;23.11
BCA;20.35;-74.5
BCB;37.233333;-80.416667
BCC;45.183333;-109.1
BCD;10.644815;122.933593
BCE;37.701111;-112.135278
BCF;6.75;18.416667
BCG;6.55;-58.55
BCH;-8.480239;126.396437
BCI;-23.559167;145.301944
BCJ;39;-106
BCK;-17.4;144.166667
BCL;10.771923;-83.586633
BCM;46.598611;26.881944
BCN;41.303027;2.07593
BCO;5.783127;36.562038
BCP;-5.85;146.483333
BCQ;27.683333;14.216667
BCR;-8.75;-67.383333
BCS;29.86594;-90.020305
BCT;26.379022;-80.107981
